상품명,쇼핑몰 상품 ID,네이버쇼핑 상품 ID,캠페인 이름,캠페인 ID,기간,캠페인 목적,총비용,노출수,평균 CPM,클릭수,평균 CPC,클릭률(%),구매완료 수,구매완료 전환매출액,총 전환율(%),총 광고수익률(%)
FGH,10284941023,87829444847,W,1548292,2026.09.20.,ADVoost 쇼핑,100,100,7060,5,705,1,1,1000,7.14,24915.54
F,9929643370,87474145643,W,1548738,2026.09.20.,ADVoost 쇼핑,100,100,14991,5,883,1.7,1,1000,60,13576.57
FGH,9901492319,87445994592,W,1548738,2026.09.20.,ADVoost 쇼핑,100,100,12181,5,1584,0.77,1,1000,50,3676.94
CVX,9886847038,87431349311,W,1548738,2026.09.20.,ADVoost 쇼핑,100,100,6740,5,1420,0.47,1,1000,7.14,10636.3
FGH,9718067142,87262569412,W,1548738,2026.09.20.,ADVoost 쇼핑,100,100,40135,5,723,5.55,1,1000,42.86,6581.89
FGH,9718036637,87262538907,W,1548738,2026.09.20.,ADVoost 쇼핑,100,100,32160,5,1222,2.63,1,1000,45,5225.51
CV,9713048645,87257550915,W,1548738,2026.09.20.,ADVoost 쇼핑,100,100,21685,5,1716,1.26,1,1000,7.14,5282.72
SDAF,9712984078,87257486348,W,1548738,2026.09.20.,ADVoost 쇼핑,100,100,8088,5,600,1.35,1,1000,14.29,21415.74
XCV,9712880290,87257382559,W,1548738,2026.09.20.,ADVoost 쇼핑,100,100,4194,5,1405,0.3,1,1000,0,0
GGG,9712730896,87257233166,W,1548738,2026.09.20.,ADVoost 쇼핑,100,100,47481,5,2361,2.01,1,1000,17.65,9376.12
